"ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs","id","residuals"
11,166.91,139.29,14.69,975,1.88,0.975,999,5677,42.95
13,190.74,156.78,16.34,982,2.08,0.982,999,5678,48.76
6,107.34,91.64,12.11,906,1.3,0.906,999,5679,28.41
9,130.67,121.85,13.99,728,0.63,0.728,999,5680,24.73
1,25.76,25.76,0,193.5,-0.74,0.1935,999,5681,-8.14
2,44.51,42.24,5.65,587,0.4,0.587,999,5682,1.61
9,123.13,121.55,13.7,554,0.12,0.554,999,5683,17.18
20,226.21,208.51,18.09,833,0.98,0.833,999,5715,21.18
6,105.25,91.12,11.73,878,1.2,0.878,999,5716,26.32
12,141.05,148.7,14.94,294,-0.51,0.294,999,5717,8.08
1,25.76,25.76,0,763.5,0.65,0.7635,999,5718,-8.14
18,192.45,194.97,17.32,445,-0.15,0.445,999,5719,5.44
13,157.7,156.3,15.8,539,0.09,0.539,999,5720,15.72
14,185.65,164.68,15.75,893,1.33,0.893,999,5721,34.67
16,182.64,180.32,16.46,555,0.14,0.555,999,5722,13.64
9,143.19,121.5,13.58,943,1.6,0.943,999,5723,37.25
7,132.39,101.87,12.25,996,2.49,0.996,999,5724,44.46
5,86.05,80.73,10.16,693,0.52,0.693,999,5725,16.13
4,70.78,68.41,9.28,581,0.26,0.581,999,5726,9.87
7,101.26,101.87,12.55,475,-0.05,0.475,999,5758,13.33
7,102.99,101.65,12.03,543,0.11,0.543,999,5759,15.06
2,40.44,42.47,5.51,347.5,-0.37,0.3475,999,5760,-2.46
14,184.41,164.73,15.88,884,1.24,0.884,999,5761,33.43
17,204.12,187.79,17.75,810,0.92,0.81,999,5762,26.12
15,177.22,172.79,16.82,611,0.26,0.611,999,5763,17.23
13,161.98,156.22,16.37,630,0.35,0.63,999,5764,20.01
18,211.09,194.81,17.54,818,0.93,0.818,999,5765,24.08
6,102.03,91.34,11.64,810,0.92,0.81,999,5766,23.1
6,93.08,91.28,11.86,544,0.15,0.544,999,5767,14.15
8,131.92,112.15,13.4,940,1.48,0.94,999,5768,34.98
2,44.51,42.42,5.71,593,0.37,0.593,999,5769,1.61
6,113,91.91,11.51,970,1.83,0.97,999,5800,34.07
8,106.02,111.67,13.4,316,-0.42,0.316,999,5801,9.08
1,25.76,25.76,0,40.5,-1.56,0.0405,999,5802,-8.14
3,47.86,55.72,7.6,139,-1.03,0.139,999,5803,-4.05
3,66.2,55.95,7.82,900,1.31,0.9,999,5804,14.29
16,207.53,179.88,16.91,941,1.64,0.941,999,5805,38.53
19,209.44,201.92,18.38,656,0.41,0.656,999,5806,13.43
23,243.06,229.31,18.61,753,0.74,0.753,999,5807,11.02
9,136.76,121.96,14.07,852,1.05,0.852,999,5808,30.81
12,153.57,147.64,15.15,649,0.39,0.649,999,5809,20.6
7,109.24,101.89,12.22,719,0.6,0.719,999,5810,21.3
11,159.81,138.84,15.15,913,1.38,0.913,999,5811,35.84
4,71.11,68.73,9.51,587,0.25,0.587,999,5843,10.19
5,71.6,80.98,10.44,189,-0.9,0.189,999,5844,1.67
2,33.18,41.91,5.68,76.5,-1.54,0.0765,999,5845,-9.73
5,74.92,80.54,10.66,305,-0.53,0.305,999,5846,5
5,83.02,80.69,10.75,586,0.22,0.586,999,5847,13.1
24,252.15,235.56,18.37,808,0.9,0.808,999,5848,11.11
21,209.88,215.72,17.2,388,-0.34,0.388,999,5849,-4.15
12,148.86,148.1,15.69,520,0.05,0.52,999,5850,15.89
3,59.2,56.36,7.42,642,0.38,0.642,999,5851,7.29
3,59.2,56.17,7.78,621,0.39,0.621,999,5852,7.29
5,87.47,80.42,10.4,740,0.68,0.74,999,5853,17.54
7,108.71,101.69,12.39,720,0.57,0.72,999,5854,20.77
7,105.65,102,13.07,604,0.28,0.604,999,5886,17.72
3,52.03,55.98,7.61,268,-0.52,0.268,999,5887,0.12
5,91.02,80.6,10.71,820,0.97,0.82,999,5889,21.1
12,146.85,147.27,14.96,493,-0.03,0.493,999,5890,13.88
9,148.26,120.92,13.71,981,1.99,0.981,999,5891,42.31
15,173.11,171.76,16.82,529,0.08,0.529,999,5892,13.12
12,175.58,147.99,15.84,964,1.74,0.964,999,5893,42.61
5,78.37,80.3,10.52,434,-0.18,0.434,999,5894,8.45
8,120.57,112.11,13.06,737,0.65,0.737,999,5895,23.63
10,127.84,130.57,14,427,-0.19,0.427,999,5896,12.89
6,98.83,91.75,12,719,0.59,0.719,999,5929,19.9
3,52.36,56.07,8.07,289,-0.46,0.289,999,5930,0.45
2,27.58,42.36,5.54,4,-2.67,0.004,999,5931,-15.32
6,87.85,91.16,11.81,397,-0.28,0.397,999,5932,8.93
8,127.65,111.75,13.33,886,1.19,0.886,999,5933,30.71
14,158.48,164.13,16.05,357,-0.35,0.357,999,5934,7.5
19,211.12,202.28,18.14,695,0.49,0.695,999,5935,15.11
7,109.01,101.91,12.59,689,0.56,0.689,999,5936,21.08
8,120.57,112.17,13.48,734,0.62,0.734,999,5937,23.63
7,98.72,102.31,12.63,387,-0.28,0.387,999,5938,10.78
8,115.04,111.77,13.27,586,0.25,0.586,999,5939,18.1
5,87.24,80.65,11,701,0.6,0.701,999,5972,17.32
2,37.35,42.03,5.61,159,-0.84,0.159,999,5974,-5.56
11,139.79,139.15,15.03,517,0.04,0.517,999,5975,15.83
12,147.75,148.69,15.65,478,-0.06,0.478,999,5976,14.79
14,170.65,164,16.01,653,0.42,0.653,999,5977,19.67
6,110.33,91.87,11.54,953,1.6,0.953,999,5978,31.4
7,101.1,101.98,12.22,480,-0.07,0.48,999,5979,13.17
4,81.6,69.03,9.19,894,1.37,0.894,999,5980,20.68
7,113.75,101.76,12.14,848,0.99,0.848,999,5981,25.82
5,87.24,80.74,10.74,730,0.61,0.73,999,6015,17.32
6,79.21,91.14,11.69,163,-1.02,0.163,999,6016,0.28
7,95.13,101.93,12.87,303,-0.53,0.303,999,6017,7.2
10,133.65,130.45,14.63,578,0.22,0.578,999,6018,18.69
7,122.83,102.47,12.32,953,1.65,0.953,999,6019,34.89
9,130.64,121.56,13.87,749,0.65,0.749,999,6020,24.69
13,177.15,156.43,15.7,904,1.32,0.904,999,6021,35.18
6,89.29,91.86,11.33,399,-0.23,0.399,999,6022,10.36
10,133.95,130.2,14.45,600,0.26,0.6,999,6023,19
2,44.51,42.14,5.4,637,0.44,0.637,999,6058,1.61
4,70.78,68.37,9.28,593,0.26,0.593,999,6059,9.87
7,102.99,101.84,12.7,523,0.09,0.523,999,6060,15.06
12,182.38,148.06,15.4,992,2.23,0.992,999,6061,49.41
10,131.8,130.5,14.61,528,0.09,0.528,999,6062,16.84
7,119.3,102.16,12.92,908,1.33,0.908,999,6063,31.36
12,142.17,147.98,15.26,346,-0.38,0.346,999,6064,9.2
8,124.4,111.86,13.11,829,0.96,0.829,999,6065,27.45
9,146.8,120.78,13.71,972,1.9,0.972,999,6066,40.85
5,89.14,80.33,10.88,804,0.81,0.804,999,6103,19.22
8,127.51,111.68,13.57,879,1.17,0.879,999,6104,30.57
9,141.68,121.41,13.78,936,1.47,0.936,999,6105,35.74
10,140.49,130.59,14.52,753,0.68,0.753,999,6106,25.53
11,139.35,139.06,14.89,496,0.02,0.496,999,6107,15.39
7,113.53,101.87,12.49,828,0.93,0.828,999,6108,25.6
9,113.08,121.81,13.59,261,-0.64,0.261,999,6146,7.13
7,100.37,101.64,12.63,463,-0.1,0.463,999,6147,12.44
11,151.09,139.29,14.58,780,0.81,0.78,999,6148,27.13
10,136.79,130.42,14.49,660,0.44,0.66,999,6149,21.83
7,113.53,102.16,12.61,818,0.9,0.818,999,6150,25.6
3,54.62,55.96,7.74,427,-0.17,0.427,999,6151,2.71
9,107.83,121.47,13.56,151,-1.01,0.151,999,6189,1.88
11,150.4,139.36,14.36,780,0.77,0.78,999,6190,26.43
17,203.09,186.37,16.65,842,1,0.842,999,6191,25.09
10,127.67,130.55,14.35,417,-0.2,0.417,999,6192,12.71
9,118.09,121.68,13.89,394,-0.26,0.394,999,6193,12.14
11,151.78,138.75,14.88,811,0.88,0.811,999,6232,27.82
17,192.29,187.32,16.97,613,0.29,0.613,999,6233,14.28
11,163.56,139.37,14.93,947,1.62,0.947,999,6234,39.6
10,133.95,130.2,14.45,600,0.26,0.6,999,6235,19
9,113.99,121.12,13.86,291,-0.51,0.291,999,6275,8.04
10,149.56,130,14.63,912,1.34,0.912,999,6276,34.6
10,160.53,130.47,14.86,984,2.02,0.984,999,6277,45.58
2,40.44,42.18,5.54,365,-0.31,0.365,999,6278,-2.46
4,70.78,68.87,9.26,569,0.21,0.569,999,6317,9.87
9,121.93,121.61,14.3,499,0.02,0.499,999,6318,15.98
7,100.65,102.14,12.61,458,-0.12,0.458,999,6319,12.71
7,113.53,101.93,12.7,824,0.91,0.824,999,6320,25.6
3,56.1,56.06,7.69,482,0.01,0.482,999,6360,4.19
13,161.98,156.09,15.47,656,0.38,0.656,999,6361,20
12,145.17,147.98,15.13,429,-0.19,0.429,999,6362,12.2
2,44.51,42.14,5.4,637,0.44,0.637,999,6403,1.61
10,143.08,130.45,14.96,801,0.84,0.801,999,6404,28.13
7,114.47,101.54,12.82,854,1.01,0.854,999,6405,26.54
11,153.33,138.82,15.27,834,0.95,0.834,999,6446,29.37
