"ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs","id","residuals"
0,0,0,0,500.5,NA,0.5005,999,3256,-24.89
1,25.76,25.76,0,927.5,1.59,0.9275,999,3261,-8.14
1,25.76,25.76,0,912.5,1.45,0.9125,999,3267,-8.14
1,25.76,25.76,0,109.5,-1.09,0.1095,999,3268,-8.14
1,25.76,25.76,0,861,1.02,0.861,999,3269,-8.14
2,51.52,42.08,5.41,974,1.74,0.974,999,3308,8.61
3,52.03,56.26,7.77,262,-0.54,0.262,999,3309,0.12
2,51.52,42.21,5.68,957,1.64,0.957,999,3310,8.61
3,44.98,56.25,7.64,93,-1.48,0.093,999,3312,-6.93
1,25.76,25.76,0,927.5,1.59,0.9275,999,3343,-8.14
2,29.92,42.05,5.6,37,-2.16,0.037,999,3346,-12.98
0,0,0,0,500.5,NA,0.5005,999,3351,-24.89
2,27.48,42.08,5.69,8,-2.57,0.008,999,3352,-15.42
1,25.76,25.76,0,193.5,-0.74,0.1935,999,3353,-8.14
2,40.44,41.87,5.62,267,-0.25,0.267,999,3354,-2.46
3,44.92,56,7.61,93,-1.46,0.093,999,3383,-6.99
1,25.76,25.76,0,109.5,-1.09,0.1095,999,3384,-8.14
1,25.76,25.76,0,34,-1.63,0.034,999,3388,-8.14
2,51.52,42.29,5.87,976,1.57,0.976,999,3391,8.61
2,51.52,42.23,5.45,957,1.7,0.957,999,3393,8.61
2,40.44,42.01,5.61,276.5,-0.28,0.2765,999,3394,-2.46
3,52.03,56.08,7.79,293,-0.52,0.293,999,3396,0.12
1,25.76,25.76,0,927.5,1.59,0.9275,999,3426,-8.14
1,25.76,25.76,0,927.5,1.59,0.9275,999,3428,-8.14
5,61.27,80.45,10.86,41,-1.77,0.041,999,3431,-8.65
2,51.52,41.98,5.8,977,1.64,0.977,999,3434,8.61
5,81.68,80.34,10.36,518,0.13,0.518,999,3437,11.76
3,61.91,56.08,7.89,717,0.74,0.717,999,3438,10
1,25.76,25.76,0,356.5,-0.46,0.3565,999,3439,-8.14
0,0,0,0,500.5,NA,0.5005,999,3468,-24.89
1,25.76,25.76,0,927.5,1.59,0.9275,999,3474,-8.14
2,51.52,42.24,5.86,984,1.58,0.984,999,3475,8.61
1,25.76,25.76,0,198.5,-0.72,0.1985,999,3479,-8.14
3,57.85,56.1,7.83,546,0.22,0.546,999,3481,5.94
2,51.52,42.12,5.6,964,1.68,0.964,999,3509,8.61
2,37.35,42.14,5.47,162,-0.88,0.162,999,3510,-5.56
2,40.44,41.98,5.63,325.5,-0.27,0.3255,999,3511,-2.46
2,30.69,42.34,5.64,47,-2.07,0.047,999,3516,-12.21
0,0,0,0,500.5,NA,0.5005,999,3524,-24.89
3,64.8,55.83,7.69,855,1.17,0.855,999,3552,12.89
1,25.76,25.76,0,746,0.62,0.746,999,3559,-8.14
0,0,0,0,500.5,NA,0.5005,999,3564,-24.89
2,40.44,42.62,5.47,455,-0.4,0.455,999,3566,-2.46
4,76.39,68.28,9.41,810,0.86,0.81,999,3594,15.47
1,25.76,25.76,0,198.5,-0.72,0.1985,999,3605,-8.14
4,66.89,68.56,9.53,397,-0.18,0.397,999,3606,5.97
3,66.2,55.79,7.72,897.5,1.35,0.8975,999,3607,14.29
4,56.25,68.24,9.57,123,-1.25,0.123,999,3608,-4.67
3,52.03,56.25,7.27,246,-0.58,0.246,999,3609,0.12
5,57.69,80.59,10.69,22,-2.14,0.022,999,3636,-12.23
0,0,0,0,500.5,NA,0.5005,999,3638,-24.89
1,25.76,25.76,0,927.5,1.59,0.9275,999,3639,-8.14
5,84.49,80.38,10.33,655,0.4,0.655,999,3640,14.56
1,25.76,25.76,0,927.5,1.59,0.9275,999,3644,-8.14
2,40.44,42.15,5.43,266,-0.31,0.266,999,3647,-2.46
3,44.33,55.53,7.78,76,-1.44,0.076,999,3648,-7.58
5,82.21,79.77,10.51,595,0.23,0.595,999,3649,12.29
2,40.44,41.87,5.62,267,-0.25,0.267,999,3651,-2.46
2,48.16,42.16,5.61,930,1.07,0.93,999,3671,5.26
2,48.16,42.16,5.61,930,1.07,0.93,999,3672,5.26
1,25.76,25.76,0,686,0.3,0.686,999,3679,-8.14
0,0,0,0,500.5,NA,0.5005,999,3680,-24.89
2,30.69,42.34,5.64,47,-2.07,0.047,999,3687,-12.21
3,56.45,56.08,7.76,508,0.05,0.508,999,3688,4.54
5,75.3,80.36,10.66,303,-0.47,0.303,999,3689,5.38
1,25.76,25.76,0,12.5,-1.75,0.0125,999,3690,-8.14
2,37.67,42.09,5.63,171,-0.79,0.171,999,3692,-5.23
1,25.76,25.76,0,850.5,0.97,0.8505,999,3693,-8.14
2,37.35,42.24,5.43,143,-0.9,0.143,999,3694,-5.56
2,48.16,42.16,5.61,930,1.07,0.93,999,3714,5.26
2,48.16,42.16,5.61,930,1.07,0.93,999,3715,5.26
3,53.45,56.06,7.85,408,-0.33,0.408,999,3721,1.54
1,25.76,25.76,0,109.5,-1.09,0.1095,999,3722,-8.14
2,51.52,42.17,5.56,975,1.68,0.975,999,3725,8.61
2,51.52,42.22,5.66,966,1.64,0.966,999,3731,8.61
1,25.76,25.76,0,109.5,-1.09,0.1095,999,3732,-8.14
2,40.44,41.84,5.6,306.5,-0.25,0.3065,999,3734,-2.46
5,73.65,80.08,10.56,266,-0.61,0.266,999,3735,3.73
2,48.16,42.16,5.61,930,1.07,0.93,999,3757,5.26
0,0,0,0,500.5,NA,0.5005,999,3759,-24.89
2,40.44,42,5.57,322.5,-0.28,0.3225,999,3763,-2.46
0,0,0,0,500.5,NA,0.5005,999,3765,-24.89
2,51.52,42.27,5.67,995,1.63,0.995,999,3767,8.61
2,51.52,42.27,5.58,996,1.66,0.996,999,3772,8.61
2,30.69,42.34,5.64,47,-2.07,0.047,999,3775,-12.21
13,172.09,156.25,15.45,847,1.02,0.847,999,3777,30.11
3,44.33,55.53,7.78,76,-1.44,0.076,999,3778,-7.58
1,25.76,25.76,0,109.5,-1.09,0.1095,999,3779,-8.14
2,48.16,42.08,5.74,930,1.06,0.93,999,3798,5.26
2,48.16,42.08,5.74,930,1.06,0.93,999,3799,5.26
4,81.6,69.22,9.66,902,1.28,0.902,999,3800,20.68
2,48.16,42.08,5.74,930,1.06,0.93,999,3801,5.26
1,25.76,25.76,0,951,2.01,0.951,999,3802,-8.14
1,25.76,25.76,0,109.5,-1.09,0.1095,999,3806,-8.14
0,0,0,0,500.5,NA,0.5005,999,3807,-24.89
3,56.45,56.07,7.77,503,0.05,0.503,999,3810,4.54
4,71.13,68.44,9.2,610,0.29,0.61,999,3813,10.22
1,25.76,25.76,0,947,1.69,0.947,999,3814,-8.14
2,43.16,42.15,5.54,531.5,0.18,0.5315,999,3820,0.26
2,48.16,42.08,5.74,930,1.06,0.93,999,3842,5.26
2,48.16,42.08,5.74,930,1.06,0.93,999,3843,5.26
3,66.91,56.21,7.96,955,1.34,0.955,999,3844,15
1,25.76,25.76,0,653,0.22,0.653,999,3848,-8.14
1,25.76,25.76,0,905.5,1.35,0.9055,999,3849,-8.14
0,0,0,0,500.5,NA,0.5005,999,3850,-24.89
1,25.76,25.76,0,109.5,-1.09,0.1095,999,3852,-8.14
2,26.42,42.16,5.89,4,-2.67,0.004,999,3853,-16.49
2,26.42,42.16,5.89,4,-2.67,0.004,999,3854,-16.49
7,88.24,101.55,12.49,143,-1.06,0.143,999,3856,0.31
1,25.76,25.76,0,927.5,1.59,0.9275,999,3858,-8.14
2,43.16,42.21,5.59,549,0.17,0.549,999,3864,0.26
2,48.16,42.08,5.74,930,1.06,0.93,999,3883,5.26
1,25.76,25.76,0,951,2.01,0.951,999,3885,-8.14
2,48.16,42.08,5.74,930,1.06,0.93,999,3886,5.26
2,44.51,42.31,5.74,683,0.38,0.683,999,3887,1.61
1,25.76,25.76,0,850.5,0.97,0.8505,999,3888,-8.14
7,96.51,102.2,12.61,318,-0.45,0.318,999,3890,8.58
9,113.02,121.25,13.83,280,-0.59,0.28,999,3891,7.07
0,0,0,0,500.5,NA,0.5005,999,3892,-24.89
0,0,0,0,500.5,NA,0.5005,999,3893,-24.89
6,87.85,91.28,11.38,373,-0.3,0.373,999,3895,8.92
1,25.76,25.76,0,746,0.62,0.746,999,3899,-8.14
2,40.44,42.07,5.7,290,-0.29,0.29,999,3905,-2.46
2,37.35,42.31,5.5,142,-0.9,0.142,999,3906,-5.56
1,25.76,25.76,0,951,2.01,0.951,999,3925,-8.14
2,48.16,42.08,5.74,930,1.06,0.93,999,3926,5.26
1,25.76,25.76,0,693,0.34,0.693,999,3927,-8.14
2,44.51,42.31,5.74,683,0.38,0.683,999,3929,1.61
